,hhid,year,region,work10t12,work13t15,work16t18,uct,femaleh,satth,hhsize,f0t6,m0t6,f7t12,m7t12,f13t15,f16t18,f19t60,m13t15,m16t18,m19t60,f61,m61,quint,rural,treatement,pretreatment,posttreatment,treated,ptreat
0,120106004201.0,2005,Sumatra,0.0,0.0,0.0,0,Male,No education completed,6,0.0,0.0,0.0,0.33333334,0.0,0.0,0.16666667,0.16666667,0.0,0.0,0.16666667,0.16666667,Quintile 1 (poorest),Rural,1.0,1.0,0.0,1.0,0.5481347
1,120106004201.0,2006,Sumatra,0.0,0.0,0.0,1,Male,Primary,3,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,Quintile 1 (poorest),Rural,1.0,0.0,1.0,1.0,0.4902035
2,120106004202.0,2005,Sumatra,0.0,0.0,0.0,0,Male,No education completed,6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.16666667,0.16666667,0.16666667,Quintile 1 (poorest),Rural,1.0,1.0,0.0,1.0,0.48599866
3,120106004202.0,2006,Sumatra,0.0,0.0,0.0,1,Male,No education completed,6,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.16666667,0.33333334,0.16666667,Quintile 1 (poorest),Rural,1.0,0.0,1.0,1.0,0.5077048
4,120106004203.0,2005,Sumatra,0.0,0.0,1.0,0,Female,No education completed,8,0.125,0.0,0.0,0.125,0.0,0.125,0.375,0.0,0.125,0.125,0.0,0.0,Quintile 1 (poorest),Rural,1.0,1.0,0.0,1.0,0.6057943
5,120106004203.0,2006,Sumatra,0.0,0.0,1.0,1,Female,No education completed,5,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.2,0.0,0.2,0.0,Quintile 1 (poorest),Rural,1.0,0.0,1.0,1.0,0.67616796
6,120106004204.0,2005,Sumatra,0.0,0.0,0.0,0,Female,No education completed,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,Quintile 2,Rural,1.0,1.0,0.0,1.0,0.57786626
7,120106004204.0,2006,Sumatra,0.0,0.0,0.0,1,Female,No education completed,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,Quintile 2,Rural,1.0,0.0,1.0,1.0,0.57786626
8,120106004206.0,2005,Sumatra,0.0,0.0,0.0,0,Male,No education completed,5,0.2,0.4,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,Quintile 1 (poorest),Rural,1.0,1.0,0.0,1.0,0.6324902
9,120106004206.0,2006,Sumatra,0.0,0.0,0.0,1,Male,No education completed,5,0.0,0.4,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,Quintile 1 (poorest),Rural,1.0,0.0,1.0,1.0,0.59556305
10,120106004207.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Junior secondary,5,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,Quintile 1 (poorest),Rural,1.0,1.0,0.0,1.0,0.3585085
11,120106004207.0,2006,Sumatra,0.0,0.0,1.0,1,Female,No education completed,5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.0,0.0,Quintile 1 (poorest),Rural,1.0,0.0,1.0,1.0,0.6412976
12,120106004208.0,2005,Sumatra,0.0,0.0,0.0,0,Female,No education completed,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Quintile 3,Rural,1.0,1.0,0.0,1.0,0.48870054
13,120106004208.0,2006,Sumatra,0.0,0.0,0.0,1,Female,No education completed,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Quintile 2,Rural,1.0,0.0,1.0,1.0,0.5725502
14,120106004209.0,2005,Sumatra,0.0,1.0,0.0,0,Male,Junior secondary,7,0.14285715,0.2857143,0.14285715,0.14285715,0.0,0.0,0.14285715,0.14285715,0.0,0.14285715,0.0,0.0,Quintile 1 (poorest),Rural,1.0,1.0,0.0,1.0,0.3873569
15,120106004209.0,2006,Sumatra,0.0,0.0,0.0,1,Male,Junior secondary,6,0.0,0.33333334,0.16666667,0.16666667,0.0,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,Quintile 1 (poorest),Rural,1.0,0.0,1.0,1.0,0.40015498
16,120106004210.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Primary,4,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,Quintile 1 (poorest),Rural,1.0,1.0,0.0,1.0,0.50660837
17,120106004210.0,2006,Sumatra,0.0,0.0,0.0,1,Male,No education completed,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,Quintile 1 (poorest),Rural,1.0,0.0,1.0,1.0,0.5756491
